#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
1,USA,"25,390,042",,"424,177 ",,"15,222,719",,"9,743,146","27,322","76,455","1,277","295,539,578","889,931","332,092,704 "
2,India,"10,640,544",,"153,221 ",,"10,300,838",+775,"186,485","8,944","7,668",110,"190,985,119","137,637","1,387,604,808 "
3,Brazil,"8,755,133",,"215,299 ",,"7,594,771",,"945,063","8,318","41,025","1,009","28,600,000","134,016","213,407,310 "
4,Russia,"3,698,273","+20,921","68,971 ",+559,"3,109,315","+27,779","519,987","2,300","25,336",473,"98,900,000","677,538","145,969,720 "
5,UK,"3,583,907",,"95,981 ",,"1,600,622",,"1,887,304","3,960","52,638","1,410","67,231,066","987,438","68,086,356 "
6,France,"3,011,257",,"72,647 ",,"215,822",,"2,722,788","2,912","46,076","1,112","41,226,104","630,804","65,354,806 "
7,Spain,"2,603,472",,"55,441 ",,N/A,N/A,N/A,"3,908","55,671","1,186","30,165,217","645,039","46,764,982 "
8,Italy,"2,441,854",,"84,674 ",,"1,855,127",,"502,053","2,390","40,420","1,402","30,431,493","503,735","60,411,677 "
9,Turkey,"2,418,472",,"24,789 ",,"2,296,050",,"97,633","2,003","28,504",292,"28,195,901","332,314","84,847,147 "
10,Germany,"2,125,261",,"52,020 ",,"1,795,400","+15,200","277,841","4,787","25,320",620,"37,449,922","446,180","83,934,640 "
11,Colombia,"1,987,418",,"50,586 ",,"1,811,552",,"125,280","3,482","38,827",988,"9,505,562","185,704","51,186,541 "
12,Argentina,"1,853,830",,"46,575 ",,"1,636,826",,"170,429","3,631","40,808","1,025","5,806,612","127,820","45,428,197 "
13,Mexico,"1,732,290","+21,007","147,614 ","+1,440","1,291,940","+13,962","292,736","5,652","13,357","1,138","4,353,072","33,565","129,691,263 "
14,Poland,"1,464,448",,"34,908 ",,"1,215,732",,"213,808","1,489","38,718",923,"8,238,988","217,829","37,823,235 "
15,South Africa,"1,392,568",,"40,076 ",,"1,201,284",,"151,208",546,"23,316",671,"7,882,846","131,982","59,726,820 "
16,Iran,"1,360,852",,"57,225 ",,"1,151,676",,"151,951","4,134","16,087",676,"8,634,553","102,070","84,594,020 "
17,Ukraine,"1,187,897","+4,928","21,778 ",+116,"942,107","+13,138","224,012",177,"27,255",500,"6,057,828","138,988","43,585,176 "
18,Peru,"1,088,096",,"39,427 ",,"1,002,516",,"46,153","1,758","32,746","1,187","6,028,030","181,412","33,228,456 "
19,Indonesia,"965,283",,"27,453 ",,"781,147",,"156,683",,"3,508",100,"8,638,162","31,395","275,143,086 "
20,Netherlands,"938,628",,"13,422 ",,N/A,N/A,N/A,674,"54,711",782,"6,352,647","370,283","17,156,211 "
21,Czechia,"933,361","+8,423","15,270 ",+62,"808,263",+427,"109,828","1,052","87,066","1,424","5,772,660","538,486","10,720,166 "
22,Canada,"737,407",,"18,828 ",,"652,829",,"65,750",868,"19,442",496,"16,996,450","448,128","37,927,656 "
23,Romania,"706,475",,"17,628 ",,"645,923",,"42,924",997,"36,863",920,"5,268,464","274,899","19,165,090 "
24,Chile,"690,066",,"17,786 ",,"645,035",,"27,245","1,221","35,926",926,"7,527,928","391,912","19,208,197 "
25,Belgium,"689,271","+2,444","20,675 ",+55,"47,820",+145,"620,776",338,"59,328","1,780","7,819,812","673,079","11,617,976 "
26,Iraq,"612,092",,"12,984 ",,"578,292",,"20,816",148,"15,030",319,"5,305,002","130,268","40,723,804 "
27,Portugal,"609,136",,"9,920 ",,"441,556",,"157,660",715,"59,837",974,"6,722,120","660,331","10,179,925 "
28,Israel,"589,028",,"4,266 ",,"504,820",,"79,942","1,182","64,042",464,"9,925,207","1,079,110","9,197,590 "
29,Sweden,"547,166",,"11,005 ",,N/A,N/A,N/A,303,"53,990","1,086","4,916,367","485,106","10,134,622 "
30,Bangladesh,"530,890",,"7,981 ",,"475,561",,"47,348",,"3,206",48,"3,530,274","21,317","165,608,438 "
31,Pakistan,"530,818","+1,927","11,247 ",+43,"484,508","+1,737","35,063","2,283","2,377",50,"7,602,380","34,049","223,279,623 "
32,Philippines,"509,887",,"10,136 ",,"467,720",,"32,031",727,"4,619",92,"7,487,962","67,828","110,396,247 "
